GeneID tree_length kappa prop0 prop1 prop2a prop2b w0 w1 w2a w2b GeneID al_length tot_gaps gc_all lnl_fix lnl_est LRT corrLRT p-value rank FDR
XM_012697976.1 11.89658 1.84541 0.94267 0.02637 0.03012 0.00084 0.02213 1.00000 1.00000 1.00000 XM_012697976.1 552 0 0.43591 -2786.191659 -2786.191659 0.000 0.000 1.000000000  1 0.025
XM_012697885.1 4.94016 1.70461 0.93669 0.02800 0.03428 0.00102 0.01751 1.00000 1.00000 1.00000 XM_012697885.1 3840 3156 0.39406 -15326.119579 -15326.119579 0.000 0.000 1.000000000  2 0.024994
XM_012697875.1 10.37304 1.87239 0.74748 0.08531 0.15007 0.01713 0.05831 1.00000 1.00000 1.00000 XM_012697875.1 753 957 0.52221 -4120.956281 -4120.956281 0.000 0.000 1.000000000  3 0.024988
XM_012697857.1 7.04569 1.63435 0.95003 0.03898 0.01055 0.00043 0.02321 1.00000 1.00000 1.00000 XM_012697857.1 1707 270 0.47498 -8020.115534 -8020.115534 0.000 0.000 1.000000000  4 0.0249819
XM_012697833.1 7.30458 1.78813 0.94540 0.04250 0.01158 0.00052 0.03311 1.00000 1.00000 1.00000 XM_012697833.1 1044 1191 0.51208 -4826.433753 -4826.433753 0.000 0.000 1.000000000  5 0.0249759
XM_012697825.1 8.43874 1.27677 0.98301 0.01699 0.00000 0.00000 0.00927 1.00000 1.00000 1.00000 XM_012697825.1 1218 1119 0.52244 -4893.190159 -4893.190159 0.000 0.000 1.000000000  6 0.0249699
XM_012697713.1 15.68031 1.84287 0.62721 0.10107 0.23401 0.03771 0.08342 1.00000 1.00000 1.00000 XM_012697713.1 4503 8463 0.43685 -26291.094823 -26291.094823 0.000 0.000 1.000000000  7 0.0249639
XM_012697691.1 10.58423 1.68160 0.96395 0.02114 0.01459 0.00032 0.02409 1.00000 1.00000 1.00000 XM_012697691.1 867 789 0.46429 -3982.325214 -3982.325214 0.000 0.000 1.000000000  8 0.0249578
XM_012697687.1 10.43236 1.42895 0.89885 0.10115 0.00000 0.00000 0.02315 1.00000 1.00000 1.00000 XM_012697687.1 612 258 0.43316 -3157.452563 -3157.452563 0.000 0.000 1.000000000  9 0.0249518
XM_012697680.1 10.56722 1.47177 0.96417 0.03583 0.00000 0.00000 0.02395 1.00000 1.00000 1.00000 XM_012697680.1 435 192 0.42305 -2079.651675 -2079.651675 0.000 0.000 1.000000000  10 0.0249458
XM_012697674.1 11.67146 1.82252 0.82709 0.13059 0.03655 0.00577 0.06664 1.00000 1.00000 1.00000 XM_012697674.1 2379 456 0.41812 -15496.390826 -15496.390826 0.000 0.000 1.000000000  11 0.0249398
XM_012697666.1 5.11613 1.21504 0.96289 0.03711 0.00000 0.00000 0.02755 1.00000 1.00000 1.00000 XM_012697666.1 663 417 0.47043 -2858.727153 -2858.727153 0.000 0.000 1.000000000  12 0.0249337
XM_012697660.1 6.74613 1.09711 0.87483 0.04515 0.07609 0.00393 0.03253 1.00000 1.00000 1.00000 XM_012697660.1 1470 1317 0.42334 -6891.447413 -6891.447413 0.000 0.000 1.000000000  13 0.0249277
XM_012697645.1 13.10813 1.73687 0.94729 0.05271 0.00000 0.00000 0.02335 1.00000 1.00000 1.00000 XM_012697645.1 2433 2421 0.39517 -11982.822490 -11982.822490 0.000 0.000 1.000000000  14 0.0249217
XM_012697623.1 22.58986 0.74943 0.98967 0.01033 0.00000 0.00000 0.00918 1.00000 7.71300 7.71300 XM_012697623.1 300 0 0.49083 -1529.225668 -1529.225668 0.000 0.000 1.000000000  15 0.0249157
