Name	Tree_length	Kappa(ts/tv)	Omega(dN/dS)	Tree_len_dN	Tree_len_dS
NM_001043315.1	   9.11837   1.25512   0.04123        0.4787       11.6117
NM_001043365.1_1	  26.96423   1.65885   0.02509        0.7787       31.0385
NM_001043369.1	  13.23850   1.36266   0.07257        1.0667       14.6997
NM_001043371.1	  52.18133   1.38832   0.01738        1.1648       67.0213
NM_001043372.1	  26.71903   1.73117   0.01494        0.4977       33.3127
NM_001043375.1	  19.00699   1.52735   0.07652        1.5657       20.4630
NM_001043382.1	   7.14775   1.30933   0.05073        0.4369        8.6113
NM_001043383.2	   5.87538   1.28836   0.01314        0.1050        7.9882
NM_001043387.1	   5.10285   1.22098   0.06690        0.4474        6.6868
NM_001043388.1	  16.74209   1.35104   0.02515        0.6085       24.1921
NM_001043395.1	   8.31942   1.58398   0.03543        0.3401        9.5992
NM_001043411.1	   6.55289   1.07596   0.00921        0.0924       10.0353
NM_001043413.1	 280.24557   1.32054   0.00295        1.2334      418.2492
NM_001043416.1	   7.08089   1.34254   0.06363        0.5041        7.9224
NM_001043419.1	  46.54006   1.34918   0.00083        0.0505       60.8989
NM_001043432.1	   5.86112   1.73933   0.09375        0.5315        5.6698
NM_001043436.1	 152.81239   2.28157   0.00783        1.5150      193.5840
NM_001043437.1	   9.91301   1.42041   0.06735        0.8625       12.8065
NM_001043444.1	  13.89125   0.93139   0.01540        0.3231       20.9814
NM_001043447.1	  10.95222   1.29404   0.02695        0.3765       13.9706
NM_001043449.1	  21.46881   1.49731   0.03780        1.0382       27.4651
NM_001043452.1	  10.44188   1.26834   0.03618        0.4336       11.9832
NM_001043453.1	   5.71500   1.35759   0.03494        0.2418        6.9195
NM_001043464.1	  11.33907   1.65204   0.04702        0.5878       12.5004
NM_001043468.1	  11.40104   1.44560   0.05211        0.7120       13.6617
NM_001043469.1	  21.30596   1.44237   0.02966        1.0121       34.1281
NM_001043473.1	   8.03551   1.15213   0.07807        0.6991        8.9548
NM_001043475.1	  16.14390   2.00655   0.03520        0.7364       20.9222
